,cust_name,review_name,no_of_strs,review_content
0,Tuahar  Sharma,Terrific purchase,5,This cam is verry good. value for money product . The packaging is verry neat . The camera it self is verry good can not compare it to go pro. But it is still a good camera if you want to start a youtube channel it is good for bigneers. The video quality is good it is clear. It also have slowmo . The watterproof casing is of gud quality . If you are on a budget then for for this camers 😊READ MORE
1,akash pandey,Simply awesome,5,"The quality and rest everything is fine but be ready for no battery backup.Max it gives 45 minutes of recording, which might definitely be an issue, so do get an extra battery, The quality is amazing at this price, do check akaso cameras as well.READ MORE"
2,Srv Dnsh,Value-for-money,4,Camera clarity is so nice. But stabilization is such bad. I prefer you to buy the same price to get noice play vlog. Noice play  is better than sj cam4000READ MORE
3,Ahin ram,Brilliant,5,"Best deal at best price. Video quality is more than my expectations, Photo is not bad and shooting footage at 2k is better and worth itREAD MORE"
4,Vamsi Krishna Prasad G,Worth the money,4,"#Worth_it. Without second thought you can buy. Remember this for beginners. If you're a traveller or vlog person you better choose better than this. ""I'm a beginner"" why I said this because I don't know how to use properly and also don't know which is best to buy. Moreover I want to buy in budget. So, I choose it. Finally, the quality of photo is okay and the video is better than okay.READ MORE"
5,Dushyant Shinde,Fabulous!,5,Everything is just awesome except the delivery time.  it took a week long for delivery. Product is genuine and very good for new bikers.READ MORE
6,Jack  Budhachhetri,Highly recommended,5,Product is awesome. You cannot compare to gopro. Gopro is Gopro. Well at Night Quality is ok ok. Day time is awesome.READ MORE
7,Pancham  Dwivedi,Value-for-money,4,"Product is nice, but after uploading on YouTube quality decreased.READ MORE"
8,Flipkart Customer,Classy product,5,Nice item..also done a nice packing too..READ MORE
9,Vivek Singh,Just wow!,5,"Subep quality, well packed every thing good awesomeREAD MORE"
